x1,x2
0.10969898,0.736891045
0.161265306,1.053202418
0.179219388,1.170271754
0.186884354,1.226412978
0.193664966,1.277622932
0.199986395,1.326790669
0.206129252,1.375970121
0.212680272,1.430216011
0.22070068,1.499234279
0.231292517,1.593130971
0.245006803,1.716815966
0.260190476,1.85441447
0.274639456,1.984855518
0.286312925,2.088601273
0.295068027,2.163936447
0.301986395,2.220644175
0.308163265,2.268637892
0.314285714,2.314150683
0.320408163,2.357711085
0.326530612,2.399356924
0.333295918,2.44202882
0.343918367,2.500278576
0.362255102,2.591560791
0.391591837,2.730723116
0.428571429,2.902307406
0.46555102,3.071303394
0.494887755,3.202703053
0.51322449,3.281185059
0.523846939,3.321942477
0.530612245,3.342793263
0.536734694,3.358549671
0.542857143,3.37200115
0.548979592,3.382931445
0.555102041,3.391131301
0.56122449,3.396472825
0.567346939,3.398880617
0.573469388,3.398281375
0.579591837,3.394675081
0.585714286,3.388175312
0.591836735,3.378905419
0.598693878,3.364303673
0.609959184,3.331068045
0.630040816,3.263211428
0.663034014,3.146056276
0.709396259,2.980148685
0.767238095,2.775856452
0.834556122,2.543919061
0.904857143,2.307555401
0.964688776,2.109327437
1,1.993461059
