x1,x2
0.097763959,0.098277179
0.177066776,0.191547726
0.240190163,0.265631841
0.289415837,0.323083232
0.327018707,0.366451644
0.355077986,0.398172765
0.375452531,0.420553861
0.389989442,0.435895349
0.400535823,0.446497642
0.408979592,0.454567763
0.417423401,0.461821389
0.428040272,0.469813186
0.443003265,0.48009773
0.464447129,0.494203146
0.492639456,0.512368711
0.525177905,0.532990714
0.559454803,0.554323709
0.592862476,0.574622248
0.623031293,0.592325309
0.649251701,0.607158027
0.671521088,0.619393245
0.689839456,0.629305827
0.704209741,0.637171507
0.714921796,0.643350678
0.722789116,0.648358252
0.728680925,0.652725585
0.733466449,0.656984032
0.737959184,0.661635243
0.74244898,0.666901744
0.746938776,0.672853125
0.751428571,0.679557407
0.755918367,0.687082565
0.760408163,0.695482924
0.764897959,0.704780765
0.769387755,0.714993771
0.773877551,0.726139628
0.778367347,0.73823339
0.782857143,0.751255895
0.787346939,0.765164051
0.791836735,0.779914277
0.796326544,0.795463049
0.800839837,0.811863644
0.80547166,0.829464755
0.810330667,0.84867122
0.81552551,0.869887881
0.821423456,0.894669768
0.833239551,0.9461326
0.860494259,1.06654059
0.912857701,1.298823572
1,1.685911375
